CycID	meta3d_Pvalue	meta3d_BH.Q	meta3d_Period	meta3d_Phase	meta3d_Base	meta3d_AMP	meta3d_rAMP
Gene1	0	0	24	9.1120474977618	5.00193075856857	1.49949662156668	0.299752708814737
Gene2	1.42553223325681e-06	1.59040412784322e-06	24	18.6686146487673	5.00830935225972	1.66788010801642	0.333057861883412
Gene3	1.2148670958112e-10	1.48395817892248e-10	24	7.7083209673944	4.99780760350852	1.49172380689824	0.298549594936787
Gene4	0	0	24	12.0540955312995	4.99860077417692	1.73980546408962	0.348076748072467
Gene5	0	0	24	12.1993919653387	5.00660312973079	1.70062811937003	0.339681286585507
Gene6	0	0	24	11.8241869887431	5.01102772367533	1.82005291408315	0.363219758445864
Gene7	1.0547118733939e-13	1.35799812024966e-13	24	13.8816486052291	4.99611640231406	1.45327086360354	0.290942919192509
Gene8	0	0	24	9.91239098795754	4.98627579026664	1.70492229036778	0.341954074814168
Gene9	0	0	24	11.0337672867095	4.98669129053038	2.00306830533189	0.401726799188558
Gene10	0	0	24	13.3918875064457	4.99175919196025	1.46090904918744	0.292653483039582
Gene11	0	0	24	13.2565239113047	4.98636754176991	1.44399622880234	0.289610594336922
Gene12	0	0	24	11.0254800506185	4.99591628322457	2.0143585201832	0.40325204517706
Gene13	0	0	24	22.1926301983255	5.00631500287711	1.82343827336305	0.364271179776648
Gene14	0	0	24	22.2988674678659	5.01302628208295	1.8461890535442	0.368279219041673
Gene15	0	0	24	22.3516678612702	4.99174513867359	1.88407072551302	0.377451263660871
Gene16	0	0	24	0.588444358297036	4.98465440049301	1.56289614424436	0.313554181533819
Gene17	0	0	24	23.5431597095009	4.98933428638829	1.88757066087795	0.378336539274364
Gene18	0	0	24	11.1892945487598	5.00105405870443	1.99368707880826	0.398709715557209
Gene19	0	0	24	12.1233614059726	5.00240314061698	1.68239935845249	0.336289977569983
Gene20	0	0	24	20.463598185525	5.00544816427159	1.44219970453696	0.288134080218434
Gene21	0	0	24	23.0893291194113	5.0103244794541	1.98332039383944	0.395900822595825
Gene22	0	0	24	23.4975425427999	4.99679607426237	1.92639045882343	0.385501047352395
