libraryID	subjectID	hour
GSS0392_110.M_0	110	0
GSS0392_110.M_1200	110	12
GSS0392_110.M_600	110	6
GSS0392_110.M_1800	110	18
GSS0392_116.M_600	116	6
GSS0392_116.M_1800	116	18
GSS0392_116.M_1200	116	12
GSS0392_116.M_0	116	0
GSS0392_108.M_1800	108	18
GSS0392_108.M_600	108	6
GSS0392_108.M_0	108	0
GSS0392_108.M_1200	108	12
GSS0392_107.M_1800	107	18
GSS0392_107.M_600	107	6
GSS0392_107.M_0	107	0
GSS0392_107.M_1200	107	12
GSS0392_118.M_600	118	6
GSS0392_118.M_1800	118	18
GSS0392_118.M_1200	118	12
GSS0392_118.M_0	118	0
GSS0392_105.M_1800	105	18
GSS0392_105.M_600	105	6
GSS0392_105.M_1200	105	12
GSS0392_105.M_0	105	0
GSS0392_102.M_1200	102	12
GSS0392_102.M_0	102	0
GSS0392_102.M_1800	102	18
GSS0392_102.M_600	102	6
GSS0392_111.M_0	111	0
GSS0392_111.M_1200	111	12
GSS0392_111.M_600	111	6
GSS0392_111.M_1800	111	18
GSS0392_114.M_600	114	6
GSS0392_114.M_1800	114	18
GSS0392_114.M_0	114	0
GSS0392_114.M_1200	114	12
GSS0392_103.M_0	103	0
GSS0392_103.M_1200	103	12
GSS0392_103.M_600	103	6
GSS0392_103.M_1800	103	18
GSS0392_119.M_1200	119	12
GSS0392_119.M_0	119	0
GSS0392_119.M_1800	119	18
GSS0392_119.M_600	119	6
GSS0392_120.M_0	120	0
GSS0392_120.M_1800	120	18
GSS0392_120.M_600	120	6
GSS0392_120.M_1200	120	12
GSS0392_117.M_600	117	6
GSS0392_117.M_0	117	0
GSS0392_117.M_1200	117	12
GSS0392_117.M_1800	117	18
GSS0392_104.M_1200	104	12
GSS0392_104.M_600	104	6
GSS0392_104.M_1800	104	18
GSS0392_104.M_0	104	0
GSS0392_113.M_600	113	6
GSS0392_113.M_1200	113	12
GSS0392_113.M_0	113	0
GSS0392_113.M_1800	113	18
GSS0392_101.M_1200	101	12
GSS0392_101.M_1800	101	18
GSS0392_101.M_600	101	6
GSS0392_101.M_0	101	0
GSS0392_112.M_1800	112	18
GSS0392_112.M_1200	112	12
GSS0392_112.M_0	112	0
GSS0392_112.M_600	112	6
GSS0392_106.M_1200	106	12
GSS0392_106.M_0	106	0
GSS0392_106.M_1800	106	18
GSS0392_106.M_600	106	6
GSS0392_109.M_1800	109	18
GSS0392_109.M_1200	109	12
GSS0392_109.M_0	109	0
GSS0392_109.M_600	109	6
