CycID	ARS_pvalue	ARS_BH.Q	ARS_period	ARS_adjphase	ARS_amplitude	meta2d_Base	meta2d_AMP	meta2d_rAMP	GSS0392_109.M_0	GSS0392_109.M_600	GSS0392_109.M_1200	GSS0392_109.M_1800
1-Mar	0.782724865049101	0.894427190946457	24	6.4024188837995	4.46840979435039	18.5939982782743	6.5360103304351	0.351511828312468	11.8029566091039	26.2289086115035	15.8726127397503	20.4715151527397
11758896_s_at	0.40657680542788	0.894427190946457	24	9.8570981826137	63.2073282083317	810.688164229447	65.8141197449916	0.0811830277645011	727.792098008428	808.00491582623	900.519145705602	806.436497377527
11758934_x_at	0.711926810989332	0.894427190946457	24	6.96955265848526	18.6973163704754	208.351932032714	23.5348513538085	0.112957202384441	206.623911620547	245.30999677496	194.187197401871	187.286622333477
11758953_s_at	0.519919756453849	0.894427190946457	24	10.1811746599237	48.2088223597754	445.332247262385	52.0665056919211	0.116916091327301	410.432540765448	442.414509809639	513.193752400673	415.288186073781
11759119_at	0.745918315541444	0.894427190946457	24	23.2702355688915	3.75242584427334	31.697824102893	5.00891567245852	0.158020804715153	32.8528250573323	34.1043474183611	24.8945955199849	34.9395284158938
11759509_s_at	0.875865409272967	0.894427190946457	24	13.3443981677767	9.12085398688392	189.094814519394	26.7384303632333	0.141402240094166	186.072951370176	172.189029438723	211.417996057498	186.699281211181
11759688_s_at	0.766228215170134	0.894427190946457	24	11.4399908413887	1.60277269191776	36.6690254071502	2.23971505405198	0.0610792086559042	39.470669547481	36.5636592801609	38.5941113435846	32.0476614573742
11761021_at	0.245786627062354	0.894427190946457	24	20.5144196990139	32.5196801804252	1166.56351626069	32.9432994390502	0.0282396105997271	1303.3316426418	1172.02262108841	1115.48575126796	1075.41405004458
11761022_s_at	0.883258876703817	0.894427190946457	24	13.6912031185379	9.84776810410496	534.064074313197	33.9222170064072	0.0635171295692019	584.43841903498	532.112783839854	540.694463636097	479.010630741857
11762525_s_at	0.0120871786569328	0.894427190946457	24	21.0230866378662	658.682702649729	4074.34092729039	658.70195271845	0.161670798903055	4735.43610515031	3683.08886131592	3534.09199635286	4344.74674634248
11763298_at	0.227028283278868	0.894427190946457	24	21.4462318399635	30.2994900781288	208.724104152245	30.6324201770314	0.146760338492999	230.807352921649	196.037417172639	178.852909819428	229.198736695265
11763325_a_at	0.857632748898926	0.894427190946457	24	5.23360184557877	3.41675145523762	15.8208724530954	7.69955993498849	0.486671007418562	11.9315928133477	23.0178843089832	11.2911123196589	17.0429003703916
11763326_s_at	0.881494266237234	0.894427190946457	24	4.4019088466385	0.745572911248131	33.5950315795956	2.46055766853833	0.0732417132190697	34.6726688048427	35.8467765458161	31.7216414118054	32.1390395559181
11763341_at	0.717963176730396	0.894427190946457	24	23.0696975571371	4.94928516915262	25.8855951485745	6.2869788317315	0.242875575996858	20.0924172903038	25.9728524039322	19.8015895426085	37.6755213574534
11763344_s_at	0.881238580926198	0.894427190946457	24	1.58524134681399	1.93074159317287	27.6962566843012	6.33405426923267	0.228697124720935	34.5756768118045	33.5726970746134	20.8314574446833	21.8051954061036
11763394_a_at	0.893657682838747	0.894427190946457	24	15.3535113965981	4.44667538690069	38.801479802903	21.4988969774148	0.554074150950456	45.6902299419479	30.2742237777091	46.7475669976626	32.4938984942925
11763667_a_at	0.270496756157621	0.894427190946457	24	21.5383962794083	2.23788318638207	17.2888312224025	2.27378385263703	0.131517499557212	21.7280990758089	17.4206400413949	14.0235642756209	15.9830214967852
11763945_x_at	0.33225213649508	0.894427190946457	24	9.67630276711846	3.66481404833769	31.9590283804018	3.75808209706862	0.117590624231029	26.5724735864716	32.043275808797	36.9765851894398	32.2437789368988
11763962_at	0.477495268950435	0.894427190946457	24	10.0511326179445	9.30514251193669	58.074226397836	9.88928201577523	0.170286934999856	51.9641769107438	58.5208221213564	70.2919609234079	51.519945635836
11763964_s_at	0.678315775085453	0.894427190946457	24	7.16737799816268	5.800561821852	17.8393624824652	6.99239788444999	0.391964561027503	16.3494941770602	28.5049084337518	14.4508785118668	12.0521688071821
11764055_at	0.894426865976215	0.894427190946457	24	15.0072814183628	1.80674779866673	22.2634891539092	9.03360768571842	0.405758846839702	14.1373014357913	15.2929750764763	29.2291324696649	30.3945476337044
11764116_s_at	0.0815023973848361	0.894427190946457	24	8.84377875837376	4.55935581153198	129.162162815677	4.56546171529071	0.0353467425425968	135.656305171695	136.061278938833	128.705557572864	116.225509579317
11764259_at	0.877389035096617	0.894427190946457	24	16.5922697890205	1.41081672118702	33.916607830405	4.26039675092141	0.125613881324008	38.7713589005536	31.9557372493002	35.0696494104686	29.8696857612976
2-Mar	0.775393562536193	0.894427190946457	24	18.4749503896383	1.91329233325178	40.5500755466205	2.73933555535911	0.0675543884550768	45.0803958171096	37.8675899351451	41.0967508472184	38.1555655870087
200015_PM_s_at	0.879074028338704	0.894427190946457	24	4.51796350888947	28.8140216627986	731.420131172964	90.09165499847	0.123173605919202	725.752813760673	802.667602453608	675.943572171135	721.316536306442
3-Mar	0.853789539713079	0.894427190946457	24	12.6721626615751	9.22210549120874	52.3411554041073	19.9564790089659	0.381277005730749	51.6065484720677	39.2495075497459	72.8980229004852	45.6105426941306
5-Mar	0.177752167792772	0.894427190946457	24	9.34544597152587	4.20464293459092	93.7224475026238	4.23225987001934	0.0451573767309145	93.6842612211055	96.7626393241153	96.6042182214936	87.8386712437806
6-Mar	0.199343210303102	0.894427190946457	24	21.3891881260675	31.5761735239866	247.348447596535	31.8396924942022	0.128724044171637	260.229955859944	229.596444737742	220.676590472293	278.890799316162
